datetime,author_title,review_text,review_rating
10/27/2017 23:35:21,Ms. Frances M. Batista,"I loved working with Mark Crook from start to finish for a commercial property we purchased a few months back.  He was very professional and knowledgeable and when we closed, he brought by a wonderful congratulatory box of chocolates. What a nice touch! His customer service is first class. Please see him for all of your commercial lending needs!",5
11/07/2017 14:03:20,Kaitlyn A,"Not just good, but excellent service is provided at this bank.  This the better of the two TSB's in close proximity in Thomaston.",5
12/11/2021 16:47:19,Kevin Garnett,,5
10/15/2017 15:36:43,Will Griswold,,5
06/08/2018 22:16:20,Maureen Jaconetta,,5
04/06/2023 15:54:58,Billy Rico,,1
04/19/2019 15:48:22,Michelle Goering,,5
