datetime,author_title,review_text,review_rating
12/23/2021 18:29:00,Zoe Rochelle II,Clerks were kind enough to exchange my cash for a roll of quarters despite their policy. Very polite staff. If this service is needed I'd recommend the BoA near UCONN.,5
07/30/2022 15:53:41,Ziyad T,"Good local bank!
However, on saturday they do close early.. way before even the clock hits 12. So just a heads up for others",5
03/09/2018 13:59:31,Shane Auclair,Best bank ever !!!!!,5
03/06/2019 03:10:25,Cathy Kennedy,,5
07/08/2022 16:46:41,E. J. Neafsey,,5
