datetime,author_title,review_text,review_rating
11/04/2023 00:36:00,Brian Halvorsen,"can’t wait to close my account!! Worst bank, Worst branch, Going with Union Savings, It is like night and day.",1
01/28/2020 15:28:10,jeol o.,"I had an issue with one of my accounts and I called the bank. I spoke to Sarah she was amazing and super hellpfull. She got stright to point and help me out, more than I've actually been helped out before at this bank. Thank you so much sarah. saving me from  Future mistakes and helping me with my issue with my account. She also let me know how the issue may have happend. Best way to start 2020!😁🙌",5
05/18/2020 19:04:40,Chris Phillips,Have an issue with fraudulent charges on my card. The lady Gretchen was absolutely no help and could apparently do nothing for me. I will be closing my account thank you for being nothing but useless,1
06/05/2021 15:40:00,Jasmine Granja,"One branch told me that things could be easily fixed, this branch them made me come back and forth twice , just to be unable to solve the issue until another branch told them to fix it. Very poor service by the manager. Like this bank do not like this branch.",1
09/08/2020 00:49:45,Jennifer Ackerly,,4
10/22/2022 06:41:21,Jeff Augstein,,4
08/06/2018 12:00:33,sara tarvin,,1
08/23/2019 18:43:48,Varisht Nellicherry,,5
