datetime,author_title,review_text,review_rating
03/27/2024 00:08:21,Matthew Gallagher,"This is the closest Union Savings Bank branch to me and it's been such a great bank on every level that I don't mind the drive to Canton at all. The customer service, the most important part of a bank, is exceptional. You are greeted immediately and your banking needs are important to the staff. They give you useful information. They care about your situation. It's a wonderful bank!",5
08/30/2023 18:34:15,Big Dawg,"What a great bank.. Very cool, very helpful Quality people thank you.....",5
12/08/2018 14:07:27,Diana Stein,Love this bank! Everyone is so friendly and helpful. I have had an incredible experience with every visit for years!! Excellent customer service with a personal touch!!,5
05/01/2023 02:09:52,Nobody “Cracker Jack” Special,Very professional and nice. Good parking and good hours.,5
10/28/2019 16:17:06,L. Hansen,,5
