datetime,author_title,review_text,review_rating
04/20/2022 22:09:53,Luisa B,"I love this branch! The staff are friendly, polite and professional, especially Ping and Perry. Since I always use the drive-up, most likely I talk with one of them. They are awesome!",5
03/21/2023 00:57:52,Carlos Valencia,Ping is awesome! She is always smiling and willing to help. Thanks for the professional and friendly services!,5
03/27/2023 01:01:56,Lin Vaccaro,"They're all very nice and friendly, normally I like to talk to Ping which is always helpful with smile and patience.",5
03/16/2023 20:01:43,anni liu,Ping is excellent! What a lucky bank to have her working here.,5
04/20/2021 17:35:18,mark yankee,"Everyone at the New Canaan branch is very friendly and very helpful.
Agnieszka the branch manager always goes above and beyond, when
working with you.",5
04/21/2021 17:42:50,Leah L,It’s always a pleasure to visit this location of first county bank!,5
03/22/2022 16:58:00,Alan Sharpe,Always a good professional experience.,5
05/19/2021 20:33:36,Lubos Strazsky,,5
04/20/2021 17:10:47,Richard Change,,5
